playerid,yearid,stint,teamid,lgid,games,ab,runs,hits,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
gumpera01,1947,1,NYA,AL,25,14,0,1,0,0,0,0,0,0,0,7,,0,2,,0
gustifr01,1947,1,PIT,NL,156,616,102,183,30,6,9,67,5,,63,65,,2,10,,15
guttedo01,1947,1,BOS,AL,54,131,20,22,2,0,2,5,3,1,17,13,,0,3,,1
haasbe01,1947,1,CIN,NL,135,482,58,138,17,7,3,67,9,,42,27,,2,4,,7
hackst01,1947,1,CHN,NL,76,240,28,65,11,2,0,12,0,,41,19,,0,2,,4
haefnmi01,1947,1,WS1,AL,31,59,4,8,0,0,0,1,0,0,7,9,,0,3,,1
hamnegr01,1947,1,PHI,NL,2,7,1,2,0,0,0,0,0,,1,0,,0,0,,1
hamnera01,1947,1,CHN,NL,3,8,0,1,0,0,0,0,0,,0,3,,0,0,,0
handlge01,1947,1,PHA,AL,36,90,10,23,2,1,0,8,1,0,10,2,,0,0,,3
handlle01,1947,1,PHI,NL,101,277,17,70,10,3,0,42,1,,24,18,,0,5,,9
hansean01,1947,1,NY1,NL,27,21,1,4,0,0,0,0,0,,0,9,,0,0,,1
hardeme01,1947,1,CLE,AL,15,28,2,5,1,0,0,1,0,0,2,10,,0,5,,1
harriea01,1947,1,CHA,AL,33,24,1,5,0,0,0,1,0,0,0,8,,0,2,,0
harrilu01,1947,1,WS1,AL,3,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0
harrimi01,1947,1,BOS,AL,15,12,2,5,0,1,0,2,0,0,3,2,,0,1,,0
hartucl01,1947,1,NY1,NL,34,94,13,29,4,3,4,13,0,,3,21,,0,0,,2
hattejo01,1947,1,BRO,NL,42,83,3,17,2,0,0,8,1,,2,16,,0,3,,1
hattogr01,1947,1,CIN,NL,146,524,91,147,24,8,16,77,7,,81,50,,0,5,,10
haugsph01,1947,1,BRO,NL,6,2,0,0,0,0,0,0,0,,0,1,,0,0,,0
hayesfr01,1947,1,BOS,AL,5,13,0,2,0,0,0,1,0,0,0,1,,0,0,,0
haynejo01,1947,1,CHA,AL,29,65,7,17,2,0,0,6,0,0,0,7,,0,1,,1
hearnji01,1947,1,SLN,NL,37,55,1,8,2,0,0,3,0,,2,19,,0,2,,1
heathje01,1947,1,SLA,AL,141,491,81,123,20,7,27,85,2,1,88,87,,1,2,,14
heganji01,1947,1,CLE,AL,135,378,38,94,14,5,4,42,3,1,41,49,,1,6,,8
heintke01,1947,1,PIT,NL,2,0,1,0,0,0,0,1,0,,1,0,,0,0,,0
heintke01,1947,2,PHI,NL,24,43,2,5,0,0,0,3,0,,1,11,,0,6,,0
hemslro01,1947,1,PHI,NL,2,3,0,1,0,0,0,1,0,,0,0,,0,0,,0
henrito01,1947,1,NYA,AL,142,550,109,158,35,13,16,98,3,2,71,54,,3,5,,9
hermabi01,1947,1,PIT,NL,15,47,3,10,4,0,0,6,0,,2,7,,0,0,,3
hermage01,1947,1,BRO,NL,79,189,36,52,7,1,7,39,5,,28,7,,3,5,,3
herriar01,1947,1,PIT,NL,11,2,0,0,0,0,0,0,0,,0,0,,0,0,,0
hetkijo01,1947,1,CIN,NL,37,27,1,6,0,0,0,0,0,,2,2,,0,0,,0
higbeki01,1947,1,BRO,NL,4,5,0,1,1,0,0,0,0,,0,1,,0,0,,0
higbeki01,1947,2,PIT,NL,46,72,6,10,2,0,1,4,0,,2,11,,0,6,,2
hitchbi01,1947,1,SLA,AL,80,275,25,61,2,2,1,28,3,0,21,34,,0,6,,9
hodgegi01,1947,1,BRO,NL,28,77,9,12,3,1,1,7,0,,14,19,,0,0,,3
hodgira01,1947,1,CHA,AL,59,180,26,53,10,3,1,24,1,0,13,4,,3,2,,6
hoersle01,1947,1,PHI,NL,4,4,0,2,0,0,0,0,0,,0,1,,0,0,,0
holmeto01,1947,1,BSN,NL,150,618,90,191,33,3,9,53,3,,44,16,,5,9,,15
hoppjo01,1947,1,BSN,NL,134,430,74,124,20,2,2,32,13,,58,30,,2,12,,8
houkra01,1947,1,NYA,AL,41,92,7,25,3,1,0,12,0,0,11,5,,1,0,,2
houttar01,1947,1,DET,AL,23,40,2,12,2,0,0,3,0,1,0,3,,0,0,,0
howarle01,1947,1,PIT,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
howeldi02,1947,1,PIT,NL,76,214,23,59,11,0,4,25,1,,27,34,,0,4,,2
hudsosi01,1947,1,WS1,AL,20,39,4,12,1,0,0,6,0,0,1,0,,0,0,,1
hugheto04,1947,1,PHI,NL,32,40,1,2,0,0,0,2,0,,1,15,,0,1,,0
hughste01,1947,1,BOS,AL,29,61,3,2,1,0,0,2,0,0,5,22,,0,4,,1
hutchfr01,1947,1,DET,AL,56,106,8,32,5,2,2,15,2,0,6,6,,0,1,,4
iottho01,1947,1,SLA,AL,4,2,0,0,0,0,0,0,0,0,0,1,,0,0,,0
iottho01,1947,2,NY1,NL,20,21,1,3,2,0,0,4,0,,4,8,,0,2,,1
jansela01,1947,1,NY1,NL,42,86,6,16,2,0,0,7,0,,3,13,,0,9,,4
jarviro01,1947,1,PIT,NL,18,45,4,7,1,0,1,4,0,,6,5,,0,0,,1
johnsbi03,1947,1,NYA,AL,132,494,67,141,19,8,10,95,1,2,44,43,,6,3,,21
johnsdo02,1947,1,CHN,NL,120,402,33,104,17,2,3,26,2,,24,45,,1,7,,5
johnsdo03,1947,1,NYA,AL,15,13,0,0,0,0,0,0,0,0,1,8,,0,4,,0
johnsea01,1947,1,BOS,AL,46,44,1,12,1,0,0,4,0,0,1,10,,0,2,,3
johnske01,1947,1,SLN,NL,2,4,1,2,0,0,0,0,0,,0,1,,0,0,,0
johnssi01,1947,1,BSN,NL,36,30,1,1,0,0,0,1,0,,1,11,,0,0,,0
jonesja03,1947,1,CHA,AL,45,171,15,41,7,1,3,20,1,0,13,25,,1,0,,4
jonesja03,1947,2,BOS,AL,109,404,50,95,14,3,16,76,5,4,41,60,,3,3,,7
jonesni01,1947,1,SLN,NL,23,73,6,18,4,0,1,5,0,,2,10,,0,2,,2
jonessh01,1947,1,NY1,NL,15,16,0,2,0,0,0,1,0,,0,3,,0,1,,0
joneswi01,1947,1,PHI,NL,18,62,5,14,0,1,0,10,2,,7,0,,0,0,,3
joosted01,1947,1,PHA,AL,151,540,76,111,22,3,13,64,6,6,114,110,,4,24,,5
jorgesp01,1947,1,BRO,NL,129,441,57,121,29,8,5,67,4,,58,45,,1,6,,5
juddos01,1947,1,PHI,NL,44,64,6,12,2,2,0,2,0,,4,16,,1,0,,0
judniwa01,1947,1,SLA,AL,144,500,58,129,24,3,18,64,2,5,60,62,,0,4,,6
jurgebi01,1947,1,CHN,NL,14,40,5,8,2,0,1,2,0,,9,9,,0,0,,0
jurisal01,1947,1,PHI,NL,34,31,1,1,0,0,0,0,0,,1,12,,0,4,,0
karlan01,1947,1,BSN,NL,27,6,0,1,0,0,0,0,0,,0,2,,0,0,,2
kellech01,1947,1,NYA,AL,45,151,36,36,6,1,13,36,0,0,41,18,,1,0,,3
kellge01,1947,1,DET,AL,152,588,75,188,29,5,5,93,9,11,61,16,,3,10,,13
keltnke01,1947,1,CLE,AL,151,541,49,139,29,3,11,76,5,4,59,45,,1,12,,8
kennebi01,1947,1,WS1,AL,2,2,0,0,0,0,0,0,0,0,0,0,,0,0,,0
kennebo01,1947,1,CHA,AL,115,428,47,112,19,3,6,48,3,4,18,38,,0,2,,12
kennemo01,1947,1,NY1,NL,34,48,6,8,0,0,0,6,0,,3,9,,0,1,,1
kerrbu01,1947,1,NY1,NL,138,547,73,157,23,5,7,49,2,,36,49,,0,13,,12
kindeel01,1947,1,SLA,AL,34,62,4,8,0,0,0,4,0,0,1,20,,0,4,,1
kinerra01,1947,1,PIT,NL,152,565,118,177,23,4,51,127,1,,98,81,,2,1,,12
kingcl01,1947,1,BRO,NL,29,26,1,3,1,0,0,4,0,,1,12,,0,1,,0
kirkto01,1947,1,PHA,AL,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,,0
kliemed01,1947,1,CLE,AL,58,19,1,2,0,0,0,1,0,0,2,6,,0,1,,0
klingbo01,1947,1,BOS,AL,28,9,1,1,0,0,0,0,0,0,0,2,,0,2,,0
kluszte01,1947,1,CIN,NL,9,10,1,1,0,0,0,2,0,,1,2,,0,0,,0
kluttcl01,1947,1,PIT,NL,73,232,26,70,9,2,6,42,1,,17,18,,2,4,,2
knerrlo01,1947,1,WS1,AL,6,1,0,1,0,0,0,0,0,0,0,0,,0,0,,0
knickau01,1947,1,PHA,AL,21,48,8,12,3,2,0,2,0,1,3,4,,0,2,,1
koechdi01,1947,1,PHI,NL,3,4,0,0,0,0,0,0,0,,0,2,,0,0,,0
kollodo01,1947,1,CHA,AL,124,485,49,135,25,4,2,35,11,4,17,34,,0,7,,22
kosloda01,1947,1,NY1,NL,39,78,6,10,1,0,0,2,0,,8,37,,0,1,,0
krameja01,1947,1,SLA,AL,33,62,3,7,1,0,0,2,0,0,8,25,,0,5,,1
kressch01,1947,1,CIN,NL,11,27,4,4,0,0,0,0,0,,6,4,,0,1,,0
kuheljo01,1947,1,CHA,AL,3,3,0,0,0,0,0,0,0,0,0,3,,0,0,,0
kurowwh01,1947,1,SLN,NL,146,513,108,159,27,6,27,104,4,,87,56,,10,4,,19
kushem01,1947,1,CHN,NL,47,20,2,5,2,0,0,1,0,,0,1,,0,0,,0
kuzavbo01,1947,1,CLE,AL,4,9,0,1,0,0,0,1,0,0,0,3,,0,0,,0
laabsch01,1947,1,PHA,AL,15,32,5,7,1,0,1,5,0,0,4,4,,0,0,,0
ladedo01,1947,1,CHN,NL,35,60,3,13,2,0,0,4,1,,5,18,,0,3,,0
lafatjo01,1947,1,NY1,NL,62,95,13,21,1,0,2,18,1,,15,18,,1,0,,3
lakeed01,1947,1,DET,AL,158,602,96,127,19,6,12,46,11,10,120,54,,1,9,,14
lakemal01,1947,1,CIN,NL,2,2,0,0,0,0,0,0,0,,0,1,,0,0,,0
lakemal01,1947,2,PHI,NL,55,182,11,29,3,0,6,19,0,,5,39,,1,1,,2
lamanra01,1947,1,CIN,NL,118,413,33,106,21,3,5,50,0,,28,39,,2,5,,6
