playerid,yearid,stint,teamid,lgid,position,games,games_started,innouts,putouts,assists,errors,double_plays,passed_balls,wild_pitches,opp_sbs,opp_cs,zone_rating
richmbe01,1933,1,CHN,NL,P,4,,,0,0,0,0,,,,,
rixeyep01,1933,1,CIN,NL,P,16,,,1,30,1,2,,,,,
robelto01,1933,1,CIN,NL,2B,11,,,15,23,0,3,,,,,
robelto01,1933,1,CIN,NL,3B,2,,,0,4,2,0,,,,,
roettwa01,1933,1,CIN,NL,OF,55,,,124,4,3,2,,,,,
rogelbi01,1933,1,DET,AL,SS,155,,,326,526,51,116,,,,,
rootch01,1933,1,CHN,NL,P,35,,,11,36,1,4,,,,,
rosenma01,1933,1,BRO,NL,OF,2,,,7,0,0,0,,,,,
rowesc01,1933,1,DET,AL,P,19,,,1,33,0,1,,,,,
royem01,1933,1,PHA,AL,P,1,,,1,0,1,0,,,,,
ruelmu01,1933,1,SLA,AL,C,28,,,72,21,0,3,0,,,,
ruffire01,1933,1,NYA,AL,P,35,,,8,45,2,5,,,,,
russeja01,1933,1,WS1,AL,P,50,,,6,46,0,5,,,,,
ruthba01,1933,1,NYA,AL,1B,1,,,6,0,1,0,,,,,
ruthba01,1933,1,NYA,AL,OF,132,,,215,9,7,4,,,,,
ruthba01,1933,1,NYA,AL,P,1,,,1,1,0,0,,,,,
ryanbl01,1933,1,NY1,NL,SS,146,,,296,494,42,95,,,,,
ryanro01,1933,1,BRO,NL,P,30,,,1,12,0,0,,,,,
salveja01,1933,1,NY1,NL,P,8,,,5,7,1,0,,,,,
scharar01,1933,1,SLA,AL,2B,7,,,17,21,1,2,,,,,
scharar01,1933,1,SLA,AL,3B,95,,,113,206,17,31,,,,,
scharar01,1933,1,SLA,AL,SS,24,,,28,59,4,10,,,,,
schubhe01,1933,1,DET,AL,2B,1,,,0,0,0,0,,,,,
schubhe01,1933,1,DET,AL,3B,23,,,16,42,3,1,,,,,
schubhe01,1933,1,DET,AL,SS,2,,,3,4,1,0,,,,,
schulfr02,1933,1,WS1,AL,OF,142,,,433,10,9,4,,,,,
schulwe02,1933,1,BSN,NL,OF,21,,,46,3,1,0,,,,,
schulwe02,1933,2,PHI,NL,OF,97,,,210,6,5,0,,,,,
schumha02,1933,1,NY1,NL,P,35,,,15,70,1,3,,,,,
seedsbo01,1933,1,BOS,AL,1B,41,,,379,18,6,33,,,,,
seedsbo01,1933,1,BOS,AL,OF,32,,,43,4,2,0,,,,,
seiboso01,1933,1,BSN,NL,P,11,,,1,10,0,0,,,,,
seweljo01,1933,1,NYA,AL,3B,131,,,123,224,13,27,,,,,
sewellu01,1933,1,WS1,AL,C,141,,,516,61,6,12,3,,,,
shautjo01,1933,1,BRO,NL,P,41,,,5,28,2,0,,,,,
sheame01,1933,1,BOS,AL,C,16,,,48,11,0,2,0,,,,
sheame01,1933,2,SLA,AL,C,85,,,328,60,2,15,3,,,,
shorebi01,1933,1,NY1,NL,P,8,,,2,13,0,0,,,,,
simmoal01,1933,1,CHA,AL,OF,145,,,372,15,4,1,,,,,
sladego01,1933,1,SLN,NL,2B,1,,,0,0,0,0,,,,,
sladego01,1933,1,SLN,NL,SS,31,,,34,61,6,11,,,,,
smithbo02,1933,1,CIN,NL,P,16,,,0,15,2,4,,,,,
smithbo02,1933,1,CIN,NL,SS,1,,,0,0,0,0,,,,,
smithbo02,1933,2,BSN,NL,P,14,,,1,19,0,0,,,,,
