playerid,yearid,stint,teamid,lgid,wins,losses,games,gamesstarted,cg,sho,sv,ipouts,hits,er,hr,bb,so,baopp,era,ibb,wp,hbp,balks,bfp,gf,runs,sh,sf,gidp
getteal01,1947,1,CLE,AL,11,10,31,21,9,2,0,447,122,53,12,62,64,0.22,3.2,,3,3,2,611,5,54,,,
gillebo01,1947,1,CHA,AL,5,8,25,17,1,0,0,354,133,62,4,53,36,0.29,4.73,,6,1,0,528,4,71,,,
gorsijo01,1947,1,DET,AL,2,0,31,0,0,0,1,173,44,24,5,26,20,0.2,3.75,,1,2,0,242,16,27,,,
greggha01,1947,1,BRO,NL,4,5,37,16,2,1,1,313,115,68,6,55,59,0.27,5.87,,1,4,0,486,5,79,,,
grodzjo01,1947,1,SLN,NL,0,1,16,0,0,0,0,70,21,14,5,19,8,0.25,5.4,,1,0,0,107,8,17,,,
gromest01,1947,1,CLE,AL,3,5,29,7,0,0,4,253,77,35,8,36,39,0.24,3.74,,1,1,0,367,15,43,,,
grother02,1947,1,CLE,AL,0,0,2,0,0,0,0,4,0,0,0,1,1,0,0,,0,0,0,4,1,0,,,
groveor01,1947,1,CHA,AL,6,8,25,19,6,1,0,407,158,67,10,70,33,0.29,4.44,,3,4,0,619,1,78,,,
gumbeha01,1947,1,CIN,NL,10,10,46,0,0,0,10,271,88,39,3,47,43,0.26,3.89,,0,0,0,395,34,42,,,
gumpera01,1947,1,NYA,AL,4,1,24,6,2,0,0,169,71,34,4,28,25,0.31,5.43,,1,0,0,258,4,36,,,
haefnmi01,1947,1,WS1,AL,10,14,31,28,14,4,1,579,195,78,8,85,77,0.26,3.64,,1,4,0,837,1,86,,,
hamnera01,1947,1,CHN,NL,1,2,3,3,2,0,0,75,24,7,0,16,14,0.26,2.52,,1,0,0,110,0,10,,,
hansean01,1947,1,NY1,NL,1,5,27,9,1,0,0,247,78,40,8,38,18,0.24,4.37,,2,0,1,358,6,45,,,
hardeme01,1947,1,CLE,AL,6,4,15,15,4,1,0,240,91,40,3,27,17,0.28,4.5,,0,1,1,348,0,41,,,
harriea01,1947,1,CHA,AL,3,8,33,4,0,0,5,281,85,37,3,49,55,0.24,3.56,,4,3,0,406,12,48,,,
harrilu01,1947,1,WS1,AL,0,0,3,0,0,0,0,19,7,2,0,7,2,0.31,2.84,,0,0,0,33,1,2,,,
harrimi01,1947,1,BOS,AL,5,4,15,6,1,0,0,155,42,14,3,23,35,0.22,2.44,,0,0,0,214,7,20,,,
hartucl01,1947,1,NY1,NL,9,7,23,20,8,1,0,414,140,70,15,69,54,0.26,4.57,,2,2,0,608,1,76,,,
hattejo01,1947,1,BRO,NL,17,8,42,32,11,3,0,676,211,91,9,105,76,0.25,3.63,,6,5,0,968,2,95,,,
haugsph01,1947,1,BRO,NL,1,0,6,1,0,0,0,38,14,4,1,4,4,0.29,2.84,,0,0,1,52,1,4,,,
haynejo01,1947,1,CHA,AL,14,6,29,22,7,2,0,546,174,49,5,61,50,0.25,2.42,,4,2,1,767,5,65,,,
hearnji01,1947,1,SLN,NL,12,7,37,21,4,1,1,486,151,58,9,63,57,0.24,3.22,,0,1,0,681,9,67,,,
heintke01,1947,1,PIT,NL,0,0,2,1,0,0,0,12,9,9,2,6,2,0.4,20.25,,0,0,0,28,0,11,,,
heintke01,1947,2,PHI,NL,7,10,24,19,8,0,1,408,144,61,12,46,55,0.27,4.04,,3,2,0,571,3,72,,,
herriar01,1947,1,PIT,NL,1,3,11,0,0,0,2,32,18,10,3,4,6,0.36,8.44,,0,0,0,55,8,11,,,
hetkijo01,1947,1,CIN,NL,3,4,37,5,2,0,0,288,110,62,7,48,33,0.28,5.81,,1,1,1,438,13,72,,,
higbeki01,1947,1,BRO,NL,2,0,4,3,0,0,0,47,18,9,0,12,10,0.29,5.17,,1,1,0,76,0,9,,,
higbeki01,1947,2,PIT,NL,11,17,46,30,10,1,5,675,204,93,22,110,99,0.24,3.72,,6,3,0,975,12,108,,,
hoersle01,1947,1,PHI,NL,1,1,4,1,0,0,0,34,19,10,1,3,0,0.35,7.94,,0,0,0,56,1,12,,,
houttar01,1947,1,DET,AL,7,2,23,9,7,2,0,332,106,42,6,36,58,0.24,3.42,,0,1,0,469,9,51,,,
howarle01,1947,1,PIT,NL,0,0,2,0,0,0,0,8,4,1,1,0,2,0.33,3.38,,0,0,0,12,1,1,,,
hudsosi01,1947,1,WS1,AL,6,9,20,17,5,1,0,318,113,66,8,58,37,0.27,5.6,,1,1,1,478,2,66,,,
hugheto04,1947,1,PHI,NL,4,11,29,15,4,1,1,381,121,49,5,59,44,0.26,3.47,,1,0,2,519,5,52,,,
hughste01,1947,1,BOS,AL,12,11,29,26,13,3,0,568,173,70,17,71,119,0.24,3.33,,0,2,0,798,3,86,,,
hutchfr01,1947,1,DET,AL,18,10,33,25,18,3,2,659,211,74,14,61,113,0.25,3.03,,2,2,0,911,8,84,,,
iottho01,1947,1,SLA,AL,0,1,4,0,0,0,0,25,15,15,4,14,6,0.37,16.2,,1,0,0,54,3,16,,,
iottho01,1947,2,NY1,NL,3,8,20,9,2,1,0,214,67,47,3,52,46,0.25,5.93,,2,1,0,328,8,50,,,
jansela01,1947,1,NY1,NL,21,5,42,30,20,1,1,744,241,87,23,57,104,0.26,3.16,,2,1,1,985,5,102,,,
johnsdo03,1947,1,NYA,AL,4,3,15,8,2,0,0,163,57,22,2,23,16,0.27,3.64,,0,1,0,238,4,26,,,
johnsea01,1947,1,BOS,AL,12,11,45,17,6,3,8,427,129,47,7,62,65,0.24,2.97,,1,2,1,596,17,63,,,
johnske01,1947,1,SLN,NL,1,0,2,1,1,0,0,30,2,0,0,5,8,0.06,0,,0,1,0,38,1,1,,,
johnssi01,1947,1,BSN,NL,6,8,36,10,3,0,2,338,124,53,7,34,27,0.27,4.23,,1,1,0,493,15,57,,,
jonessh01,1947,1,NY1,NL,2,2,15,6,0,0,0,167,51,24,2,29,24,0.25,3.88,,1,3,0,240,5,27,,,
juddos01,1947,1,PHI,NL,4,15,32,19,8,1,0,440,155,75,6,69,54,0.27,4.6,,8,3,0,639,4,86,,,
jurisal01,1947,1,PHI,NL,1,7,34,12,5,0,3,355,110,65,15,52,48,0.25,4.94,,0,1,0,488,12,69,,,
karlan01,1947,1,BSN,NL,2,3,27,0,0,0,3,105,41,15,2,13,5,0.31,3.86,,0,0,0,147,17,18,,,
kennebi01,1947,1,WS1,AL,0,0,2,0,0,0,0,20,10,6,1,5,1,0.37,8.1,,0,0,0,34,0,8,,,
kennemo01,1947,1,NY1,NL,9,12,34,24,9,0,0,445,158,80,8,88,60,0.27,4.85,,7,4,0,680,4,90,,,
kindeel01,1947,1,SLA,AL,8,15,34,26,10,2,1,583,201,97,11,82,110,0.26,4.49,,1,0,1,848,6,105,,,
