playerid,yearid,stint,teamid,lgid,games,ab,runs,hits,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
culloni02,1927,2,CLE,AL,32,68,9,16,2,3,1,8,0,4,9,19,,1,2,,
cummija01,1927,1,NY1,NL,43,80,8,29,6,1,2,14,0,,5,10,,1,3,,
cuyleki01,1927,1,PIT,NL,85,285,60,88,13,7,3,31,20,,37,36,,3,5,,
cvengmi01,1927,1,PIT,NL,23,19,2,3,1,0,0,3,0,,1,1,,0,1,,
dawsojo01,1927,1,PIT,NL,20,25,1,5,0,0,0,1,0,,0,3,,0,1,,
deanwa01,1927,1,PHI,NL,3,3,1,2,0,1,0,1,0,,0,0,,0,0,,
deanwa01,1927,2,CHN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dearbu01,1927,1,WS1,AL,2,1,1,0,0,0,0,0,0,0,0,0,,0,0,,
deberha01,1927,1,BRO,NL,68,201,15,47,3,2,1,21,1,,17,8,,0,6,,
decatar01,1927,1,PHI,NL,29,27,2,6,0,0,0,2,0,,2,12,,0,3,,
deitrbi01,1927,1,PHI,NL,5,6,1,1,0,0,0,0,0,,0,0,,0,0,,
devivbe01,1927,1,DET,AL,24,22,4,5,1,0,0,2,1,0,2,8,,0,2,,
devoral01,1927,1,NY1,NL,68,141,14,35,3,1,2,21,1,,11,11,,2,4,,
dixonle01,1927,1,SLA,AL,36,103,6,20,3,1,0,12,0,1,7,6,,0,1,,
doakbi01,1927,1,BRO,NL,27,47,2,6,2,0,0,1,0,,0,20,,0,8,,
donohpe01,1927,1,CIN,NL,33,64,1,16,0,0,0,6,0,,2,4,,0,3,,
douthta01,1927,1,SLN,NL,130,488,81,128,29,6,5,50,6,,52,45,,2,13,,
doyleje01,1927,1,DET,AL,7,3,0,1,0,0,0,1,0,0,0,1,,0,0,,
dressch01,1927,1,CIN,NL,144,548,78,160,36,10,2,55,7,,71,32,,3,25,,
duganjo01,1927,1,NYA,AL,112,387,44,104,24,3,2,43,1,4,27,37,,3,12,,
durstce01,1927,1,NYA,AL,65,129,18,32,4,3,0,25,0,3,6,7,,0,7,,
dyered01,1927,1,SLN,NL,1,0,0,0,0,0,0,0,0,,1,0,,0,0,,
dykesji01,1927,1,PHA,AL,121,417,61,135,33,6,3,60,2,3,44,23,,4,15,,
edwarfo01,1927,1,BSN,NL,33,22,3,1,1,0,0,0,0,,1,5,,0,4,,
eggerel01,1927,1,BOS,AL,5,3,0,0,0,0,0,0,0,0,1,1,,0,0,,
ehmkeho01,1927,1,PHA,AL,30,68,5,14,5,0,0,3,0,0,0,4,,0,3,,
ehrharu01,1927,1,BRO,NL,46,24,4,6,1,0,0,2,0,,1,6,,0,0,,
eichrik01,1927,1,CLE,AL,85,267,24,59,19,2,0,25,2,3,16,25,,0,10,,
ellioju01,1927,1,BRO,NL,30,64,1,9,4,0,0,6,0,,5,26,,0,1,,
engliwo01,1927,1,CHN,NL,87,334,46,97,14,4,1,28,1,,16,26,,1,23,,
faberre01,1927,1,CHA,AL,18,37,2,10,3,0,0,4,0,0,2,8,,0,5,,
falkbi01,1927,1,CHA,AL,145,535,76,175,35,6,9,83,5,7,52,19,,4,22,,
falkch01,1927,1,SLA,AL,9,5,0,1,0,0,0,1,0,0,0,1,,0,0,,
farredo01,1927,1,NY1,NL,42,142,13,55,10,1,3,34,0,,12,11,,2,3,,
farredo01,1927,2,BSN,NL,110,424,44,124,13,2,1,58,4,,14,21,,0,19,,
faulkji01,1927,1,NY1,NL,3,2,0,1,0,0,0,1,0,,1,1,,0,0,,
felixgu01,1927,1,BRO,NL,130,445,43,118,21,8,0,57,6,,39,47,,2,12,,
fergual01,1927,1,PHI,NL,31,70,4,7,0,0,0,2,0,,5,34,,0,10,,
ferrewe01,1927,1,CLE,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fewstch01,1927,1,BRO,NL,4,1,1,0,0,0,0,0,0,,0,0,,0,0,,
fitzsfr01,1927,1,NY1,NL,42,87,6,18,2,1,0,8,0,,1,9,,0,8,,
flagsir01,1927,1,BOS,AL,131,466,63,133,26,8,4,69,12,2,57,25,,9,23,,
flaskro01,1927,1,CHA,AL,26,95,12,21,5,0,0,6,0,0,3,8,,2,3,,
floweja01,1927,1,BRO,NL,67,231,26,54,5,5,2,20,3,,21,25,,1,6,,
fonsele01,1927,1,CLE,AL,112,428,60,133,20,7,2,40,12,4,12,17,,2,17,,
